StationGroupUID,StationGroupID,StationGroupName,StationGroupPosition,UpdateTime,VersionID
HUA973－063,973－063,{'Zh_tw': '干城'},"{'PositionLon': 121.544309, 'PositionLat': 23.942951, 'GeoHash': 'wsq2jy9vg'}",2023-07-13T07:38:39+08:00,1790
HUA973－064,973－064,{'Zh_tw': '花蓮監獄'},"{'PositionLon': 121.526257, 'PositionLat': 23.947989, 'GeoHash': 'wsq2jrsep'}",2023-07-13T07:38:39+08:00,1790
HUA973－065,973－065,{'Zh_tw': '慶修院'},"{'PositionLon': 121.564542, 'PositionLat': 23.974163, 'GeoHash': 'wsq2qk2ee'}",2023-07-13T07:38:39+08:00,1790
HUA974－056,974－056,{'Zh_tw': '東華大學(市區公車)'},"{'PositionLon': 121.54536, 'PositionLat': 23.8923, 'GeoHash': 'wsnrvv6ws'}",2023-07-13T07:38:39+08:00,1790
HUA974－057,974－057,{'Zh_tw': '大學路口(市區公車)'},"{'PositionLon': 121.55437, 'PositionLat': 23.8956, 'GeoHash': 'wsnryn11y'}",2023-07-13T07:38:39+08:00,1790
HUA974－063,974－063,{'Zh_tw': '行政大樓'},"{'PositionLon': 121.544533, 'PositionLat': 23.89295, 'GeoHash': 'wsnrvvd48'}",2023-07-13T07:38:39+08:00,1790
HUA974－064,974－064,{'Zh_tw': '育成中心'},"{'PositionLon': 121.544042, 'PositionLat': 23.898155, 'GeoHash': 'wsnrvy98v'}",2023-07-13T07:38:39+08:00,1790
HUA974－065,974－065,{'Zh_tw': '圖書館資訊大樓'},"{'PositionLon': 121.54171, 'PositionLat': 23.897289, 'GeoHash': 'wsnrvwrgz'}",2023-07-13T07:38:39+08:00,1790
HUA974－066,974－066,{'Zh_tw': '鯉魚潭潭北遊客中心(市區公車)'},"{'PositionLon': 121.50641, 'PositionLat': 23.934173, 'GeoHash': 'wsq2hvn68'}",2023-07-13T07:38:39+08:00,1790
HUA974－067,974－067,{'Zh_tw': '鯉魚潭潭南遊憩區(市區公車)'},"{'PositionLon': 121.50549, 'PositionLat': 23.925792, 'GeoHash': 'wsq2hgt9g'}",2023-07-13T07:38:39+08:00,1790
HUA974－068,974－068,{'Zh_tw': '立川漁場(市區公車)'},"{'PositionLon': 121.523162, 'PositionLat': 23.863655, 'GeoHash': 'wsnrv24ry'}",2023-07-13T07:38:39+08:00,1790
HUA974－070,974－070,{'Zh_tw': '豐華再現館(雲山水)(市區公車)'},"{'PositionLon': 121.506634, 'PositionLat': 23.830683, 'GeoHash': 'wsnrsfnrv'}",2023-07-13T07:38:39+08:00,1790
HUA974－071,974－071,{'Zh_tw': '原住民學院(市區公車)'},"{'PositionLon': 121.545703, 'PositionLat': 23.894854, 'GeoHash': 'wsnrvvfvs'}",2023-07-13T07:38:39+08:00,1790
HUA974－072,974－072,{'Zh_tw': '蕃薯寮休息區(市區公車)'},"{'PositionLon': 121.555432, 'PositionLat': 23.746835, 'GeoHash': 'wsnrn4czq'}",2023-07-13T07:38:39+08:00,1790
HUA974－080,974－080,{'Zh_tw': '白鮑溪橋'},"{'PositionLon': 121.510371, 'PositionLat': 23.889953, 'GeoHash': 'wsnrvj11h'}",2023-07-13T07:38:39+08:00,1790
HUA974－081,974－081,{'Zh_tw': '光榮(壽豐鄉原民館)'},"{'PositionLon': 121.513616, 'PositionLat': 23.881684, 'GeoHash': 'wsnrv5e8b'}",2023-07-13T07:38:39+08:00,1790
HUA974－082,974－082,{'Zh_tw': '門諾醫院壽豐分院'},"{'PositionLon': 121.524796, 'PositionLat': 23.870139, 'GeoHash': 'wsnrv37ts'}",2023-07-13T07:38:39+08:00,1790
HUA974－083,974－083,{'Zh_tw': '豐之谷自然生態公園'},"{'PositionLon': 121.527539, 'PositionLat': 23.865125, 'GeoHash': 'wsnrv2t8k'}",2023-07-13T07:38:39+08:00,1790
HUA974－084,974－084,{'Zh_tw': '豐坪開發區'},"{'PositionLon': 121.522264, 'PositionLat': 23.852393, 'GeoHash': 'wsnrtq1y3'}",2023-07-13T07:38:39+08:00,1790
HUA974－085,974－085,{'Zh_tw': '豐坪活動中心'},"{'PositionLon': 121.509689, 'PositionLat': 23.834978, 'GeoHash': 'wsnrt508u'}",2023-07-13T07:38:39+08:00,1790
HUA974－086,974－086,{'Zh_tw': '雲山水'},"{'PositionLon': 121.512277, 'PositionLat': 23.826582, 'GeoHash': 'wsnrt16xc'}",2023-07-13T07:38:39+08:00,1790
HUA976－019,976－019,{'Zh_tw': '花蓮觀光糖廠(市區公車)'},"{'PositionLon': 121.421494, 'PositionLat': 23.657584, 'GeoHash': 'wsnqe48rm'}",2023-07-13T07:38:39+08:00,1790
