PlateNumb,OperatorCode,VehicleType,HasLiftOrRamp,UpdateTime
183-FU,,0,False,2019-01-18T16:38:45+08:00
576-FX,,0,False,2019-01-18T16:38:45+08:00
086-FN,,0,False,2019-01-18T16:38:45+08:00
920-FD,,0,False,2019-01-18T16:38:45+08:00
KKA-1180,,0,False,2019-01-18T16:38:45+08:00
KKA-1125,,0,False,2019-01-18T16:38:45+08:00
813-FM,,0,False,2019-01-18T16:38:45+08:00
307-FC,,0,False,2019-01-18T16:38:45+08:00
286-FD,,0,False,2019-01-18T16:38:45+08:00
927-FW,,0,False,2019-01-18T16:38:45+08:00
209-FW,,0,False,2019-01-18T16:38:45+08:00
487-AC,,0,False,2019-01-18T16:38:45+08:00
475-FQ,,0,False,2019-01-18T16:38:45+08:00
FAB-363,,0,False,2019-01-18T16:38:45+08:00
KKA-2619,,0,False,2019-01-18T16:38:45+08:00
172-FE,,0,False,2019-01-18T16:38:45+08:00
470-U5,,0,False,2019-01-18T16:38:45+08:00
FAC-038,,0,False,2019-01-18T16:38:45+08:00
FN-473,,0,False,2019-01-18T16:38:45+08:00
AH-916,,0,False,2019-01-18T16:38:45+08:00
735-FN,,0,False,2019-01-18T16:38:45+08:00
KKA-1175,,0,False,2019-01-18T16:38:45+08:00
626-FC,,0,False,2019-01-18T16:38:45+08:00
935-FU,,1,False,2019-01-18T16:38:45+08:00
373-U7,,1,False,2019-01-18T16:38:45+08:00
926-FT,,0,False,2019-01-18T16:38:45+08:00
KKA-1286,,0,False,2019-01-18T16:38:45+08:00
FAC-359,,0,False,2019-01-18T16:38:45+08:00
623-V2,,0,False,2019-01-18T16:38:45+08:00
187-FM,,0,False,2019-01-18T16:38:45+08:00
KKA-3866,,0,False,2019-01-18T16:38:45+08:00
FAB-158,,0,False,2019-01-18T16:38:45+08:00
FAD-215,,0,False,2019-01-18T16:38:45+08:00
906-FP,,0,False,2019-01-18T16:38:45+08:00
007-AB,,0,False,2019-01-18T16:38:45+08:00
446-V2,,0,False,2019-01-18T16:38:45+08:00
FAD-205,,0,False,2019-01-18T16:38:45+08:00
529-FN,,0,False,2019-01-18T16:38:45+08:00
577-FG,,0,False,2019-01-18T16:38:45+08:00
FAB-670,,0,False,2019-01-18T16:38:45+08:00
039-FM,,0,False,2019-01-18T16:38:45+08:00
028-FZ,,0,False,2019-01-18T16:38:45+08:00
820-FY,,0,False,2019-01-18T16:38:45+08:00
KKA-6121,,0,False,2019-01-18T16:38:45+08:00
238-U6,,1,False,2019-01-18T16:38:45+08:00
696-XH,,0,False,2019-01-18T16:38:45+08:00
KKA-1899,,0,False,2019-01-18T16:38:45+08:00
550-U9,,0,False,2019-01-18T16:38:45+08:00
897-FU,,0,False,2019-01-18T16:38:45+08:00
935-FP,,0,False,2019-01-18T16:38:45+08:00
530-FN,,0,False,2019-01-18T16:38:45+08:00
916-FD,,0,False,2019-01-18T16:38:45+08:00
161-FU,,0,False,2019-01-18T16:38:45+08:00
772-FT,,0,False,2019-01-18T16:38:45+08:00
FAB-078,,0,False,2019-01-18T16:38:45+08:00
