RouteUID,RouteID,RouteName
KHH37,37,37
KHH6021,6021,黃2B
KHH70,70,70A三多幹線(部分延駛澄清湖)
KHH603,603,E01B旗美國道快捷
KHH381,381,38B(去繞鼓山三路)
KHH6021,6021,黃2B
KHH631,631,63北
KHH4135,4135,JOY H11區間(梅山口-桃源)
KHH692,692,69C小港幹線(繞駛學明)
KHH69,69,69A小港幹線
KHH732,732,7D
KHH691,691,69B小港幹線(繞駛明鳳)
KHH631,631,63北
KHH381,381,38B(去繞鼓山三路)
KHH682,682,大樹祈福線
KHH69,69,69A小港幹線
KHH692,692,69C小港幹線(繞駛學明)
KHH732,732,7D
KHH4135,4135,JOY H11區間(梅山口-桃源)
KHH682,682,大樹祈福線
KHH691,691,69B小港幹線(繞駛明鳳)
KHH7001,7001,綠1
KHH73,73,73
KHH72,72,72A
KHH801,801,紅1
KHH5031,5031,E03B燕巢快線
KHH703,703,70D三多幹線(延駛仁美)
KHH5101,5101,E10(假日行駛)
KHH7001,7001,綠1
KHH721,721,72B
KHH801,801,紅1
KHH73,73,73
KHH703,703,70D三多幹線(延駛仁美)
KHH72,72,72A
KHH5031,5031,E03B燕巢快線
KHH5101,5101,E10(假日行駛)
KHH721,721,72B
KHH76,76,76
KHH8023,8023,8023
KHH8001,8001,8001
KHH771,771,77昌福幹線(繞三民高中)
KHH8008,8008,8008
KHH531,531,53A
KHH76,76,76
KHH8006,8006,8006
KHH60,60,60覺民幹線
KHH8023,8023,8023
KHH8001,8001,8001
KHH771,771,77昌福幹線(繞三民高中)
KHH8008,8008,8008
KHH531,531,53A
KHH8006,8006,8006
KHH60,60,60覺民幹線
KHH8010,8010,8010
KHH8015,8015,8015
KHH8013,8013,8013(假日延駛石頭廟)
KHH8036,8036,8036
KHH8020,8020,8020
KHH8010,8010,8010
KHH602,602,黃2A(部分繞駛圓山飯店)
KHH8017,8017,8017
KHH8015,8015,8015
KHH8013,8013,8013(假日延駛石頭廟)
KHH609,609,E02哈佛快線
KHH8036,8036,8036
KHH8020,8020,8020
KHH602,602,黃2A(部分繞駛圓山飯店)
KHH8017,8017,8017
KHH8025,8025,E25高旗六龜快線(部分不經高鐵左營站)
KHH609,609,E02哈佛快線
KHH8029,8029,8029
KHH806,806,紅6
KHH8028,8028,E28高旗美濃快線
KHH8025,8025,E25高旗六龜快線(部分不經高鐵左營站)
KHH8033,8033,8033
KHH8032,8032,E32高旗甲仙快線
KHH6311,6311,63南
KHH8029,8029,8029
KHH806,806,紅6
KHH8028,8028,E28高旗美濃快線
KHH7,7,7A
KHH8033,8033,8033
KHH8032,8032,E32高旗甲仙快線
KHH8040,8040,8040
KHH6311,6311,63南
KHH7,7,7A
KHH8074,8074,8035區間車
KHH8043,8043,8043
KHH8042,8042,8042(假日延駛台南機場)
KHH8040,8040,8040
KHH8048,8048,8048
KHH8074,8074,8035區間車
KHH8043,8043,8043
KHH8046,8046,8046A
KHH8042,8042,8042(假日延駛台南機場)
KHH701,701,70B三多幹線(延駛鎮州路)
KHH8048,8048,8048
KHH731,731,7C
KHH8062,8062,8010區間車
KHH8046,8046,8046A
KHH701,701,70B三多幹線(延駛鎮州路)
KHH807,807,紅7
KHH8111,8111,紅11B
KHH731,731,7C
KHH8069,8069,8041A
KHH8062,8062,8010區間車
KHH8072,8072,紅7(返程延駛)
KHH8071,8071,紅7(去程延駛)
KHH807,807,紅7
KHH8069,8069,8041A
KHH77,77,77昌福幹線
KHH8111,8111,紅11B
KHH8072,8072,紅7(返程延駛)
KHH8009,8009,8009
KHH8071,8071,紅7(去程延駛)
KHH8075,8075,8049區間車
KHH77,77,77昌福幹線
KHH810,810,紅10
KHH8009,8009,8009
