StationGroupUID,StationGroupID,StationGroupName,StationGroupPosition,UpdateTime,VersionID
YUN651－040,651－040,{'Zh_tw': '扶朝里'},"{'PositionLon': 120.28261, 'PositionLat': 23.567445, 'GeoHash': 'wsjw14747'}",2023-07-13T07:38:39+08:00,1790
YUN651－041,651－041,{'Zh_tw': '建國國中'},"{'PositionLon': 120.295815, 'PositionLat': 23.573624, 'GeoHash': 'wsjw17kwr'}",2023-07-13T07:38:39+08:00,1790
YUN652－033,652－033,{'Zh_tw': '豐德宮'},"{'PositionLon': 120.256428, 'PositionLat': 23.630443, 'GeoHash': 'wsjw2tb13'}",2023-07-13T07:38:39+08:00,1790
YUN652－034,652－034,{'Zh_tw': '頂崁'},"{'PositionLon': 120.26369, 'PositionLat': 23.628573, 'GeoHash': 'wsjw2tmq7'}",2023-07-13T07:38:39+08:00,1790
YUN652－035,652－035,{'Zh_tw': '誠正國小'},"{'PositionLon': 120.260793, 'PositionLat': 23.62019, 'GeoHash': 'wsjw2egjx'}",2023-07-13T07:38:39+08:00,1790
YUN652－036,652－036,{'Zh_tw': '車港村活動中心'},"{'PositionLon': 120.264821, 'PositionLat': 23.608991, 'GeoHash': 'wsjw29yhm'}",2023-07-13T07:38:39+08:00,1790
YUN652－037,652－037,{'Zh_tw': '西井村活動中心'},"{'PositionLon': 120.255955, 'PositionLat': 23.599123, 'GeoHash': 'wsjw22pdy'}",2023-07-13T07:38:39+08:00,1790
YUN652－038,652－038,{'Zh_tw': '福興宮'},"{'PositionLon': 120.251863, 'PositionLat': 23.597508, 'GeoHash': 'wsjw0ru9r'}",2023-07-13T07:38:39+08:00,1790
YUN652－039,652－039,{'Zh_tw': '山玄宮'},"{'PositionLon': 120.25269, 'PositionLat': 23.5937, 'GeoHash': 'wsjw0rj76'}",2023-07-13T07:38:39+08:00,1790
YUN652－040,652－040,{'Zh_tw': '水林鄉幼兒園'},"{'PositionLon': 120.245956, 'PositionLat': 23.5734, 'GeoHash': 'wsjw072mj'}",2023-07-13T07:38:39+08:00,1790
