StationGroupUID,StationGroupID,StationGroupName,StationGroupPosition,UpdateTime,VersionID
THB105－027,105－027,{'Zh_tw': '饒河街觀光夜市(八德)'},"{'PositionLon': 121.571559, 'PositionLat': 25.049817, 'GeoHash': 'wsqqw2jty'}",2023-07-13T07:38:39+08:00,1790
THB105－028,105－028,{'Zh_tw': '松山農會'},"{'PositionLon': 121.573751, 'PositionLat': 25.050057, 'GeoHash': 'wsqqw2pr1'}",2023-07-13T07:38:39+08:00,1790
THB105－033,105－033,{'Zh_tw': '民權復興路口'},"{'PositionLon': 121.54431, 'PositionLat': 25.06227, 'GeoHash': 'wsqqtf3y7'}",2023-07-13T07:38:39+08:00,1790
THB105－038,105－038,{'Zh_tw': '中崙'},"{'PositionLon': 121.5429922, 'PositionLat': 25.0472969, 'GeoHash': 'wsqqmz8zh'}",2023-07-13T07:38:39+08:00,1790
THB105－042,105－042,{'Zh_tw': '南京公寓(捷運南京三民)'},"{'PositionLon': 121.56665, 'PositionLat': 25.051499, 'GeoHash': 'wsqqw26ps'}",2023-07-13T07:38:39+08:00,1790
THB105－045,105－045,{'Zh_tw': '捷運南京復興站'},"{'PositionLon': 121.543684, 'PositionLat': 25.051841, 'GeoHash': 'wsqqtb93t'}",2023-07-13T07:38:39+08:00,1790
THB105－046,105－046,{'Zh_tw': '南京敦化路口(小巨蛋)'},"{'PositionLon': 121.547973, 'PositionLat': 25.051836, 'GeoHash': 'wsqqtbs99'}",2023-07-13T07:38:39+08:00,1790
THB105－049,105－049,{'Zh_tw': '光復路口'},"{'PositionLon': 121.55683075343, 'PositionLat': 25.0480893870262, 'GeoHash': 'wsqqqpfgx'}",2023-07-13T07:38:39+08:00,1790
THB105－050,105－050,{'Zh_tw': '基隆路口'},"{'PositionLon': 121.56838, 'PositionLat': 25.049335, 'GeoHash': 'wsqqw256u'}",2023-07-13T07:38:39+08:00,1790
THB106－001,106－001,{'Zh_tw': '臺灣科技大學'},"{'PositionLon': 121.540385, 'PositionLat': 25.013875, 'GeoHash': 'wsqqm9xh2'}",2023-07-13T07:38:39+08:00,1790
THB106－009,106－009,{'Zh_tw': '成功國宅'},"{'PositionLon': 121.5487345, 'PositionLat': 25.028267, 'GeoHash': 'wsqqmum04'}",2023-07-13T07:38:39+08:00,1790
THB106－010,106－010,{'Zh_tw': '公館'},"{'PositionLon': 121.53836, 'PositionLat': 25.012205, 'GeoHash': 'wsqqm9md9'}",2023-07-13T07:38:39+08:00,1790
THB106－014,106－014,{'Zh_tw': '捷運忠孝敦化站'},"{'PositionLon': 121.54879, 'PositionLat': 25.04222, 'GeoHash': 'wsqqmyv1s'}",2023-07-13T07:38:39+08:00,1790
THB106－017,106－017,{'Zh_tw': '捷運科技大樓站'},"{'PositionLon': 121.543485, 'PositionLat': 25.026475, 'GeoHash': 'wsqqmgcmb'}",2023-07-13T07:38:39+08:00,1790
THB106－018,106－018,{'Zh_tw': '捷運忠孝復興站'},"{'PositionLon': 121.540917, 'PositionLat': 25.041605, 'GeoHash': 'wsqqmwxmu'}",2023-07-13T07:38:39+08:00,1790
THB106－019,106－019,{'Zh_tw': '捷運六張犁站(基隆路)'},"{'PositionLon': 121.55179, 'PositionLat': 25.023695, 'GeoHash': 'wsqqmgrm9'}",2023-07-13T07:38:39+08:00,1790
THB106－020,106－020,{'Zh_tw': '遠東國際飯店'},"{'PositionLon': 121.54927, 'PositionLat': 25.02656, 'GeoHash': 'wsqqmgvqr'}",2023-07-13T07:38:39+08:00,1790
THB106－021,106－021,{'Zh_tw': '福華飯店'},"{'PositionLon': 121.54367, 'PositionLat': 25.03752, 'GeoHash': 'wsqqmvcqh'}",2023-07-13T07:38:39+08:00,1790
THB106－022,106－022,{'Zh_tw': '捷運忠孝復興站'},"{'PositionLon': 121.54356, 'PositionLat': 25.04076, 'GeoHash': 'wsqqmy92f'}",2023-07-13T07:38:39+08:00,1790
THB106－023,106－023,{'Zh_tw': '臺北科技大學(忠孝)'},"{'PositionLon': 121.53434, 'PositionLat': 25.042145, 'GeoHash': 'wsqqmwf95'}",2023-07-13T07:38:39+08:00,1790
THB106－024,106－024,{'Zh_tw': '觀光局'},"{'PositionLon': 121.555916, 'PositionLat': 25.041611, 'GeoHash': 'wsqqqndmf'}",2023-07-13T07:38:39+08:00,1790
THB106－025,106－025,{'Zh_tw': '捷運忠孝敦化站'},"{'PositionLon': 121.550278199561, 'PositionLat': 25.0415781819011, 'GeoHash': 'wsqqmywjy'}",2023-07-13T07:38:39+08:00,1790
THB106－026,106－026,{'Zh_tw': '正義郵局'},"{'PositionLon': 121.538755, 'PositionLat': 25.04163, 'GeoHash': 'wsqqmwty4'}",2023-07-13T07:38:39+08:00,1790
THB106－027,106－027,{'Zh_tw': '基隆長興街口'},"{'PositionLon': 121.544775, 'PositionLat': 25.017435, 'GeoHash': 'wsqqmf61n'}",2023-07-13T07:38:39+08:00,1790
THB106－028,106－028,{'Zh_tw': '臺大癌醫(基隆路)'},"{'PositionLon': 121.542325, 'PositionLat': 25.015545, 'GeoHash': 'wsqqmcbqj'}",2023-07-13T07:38:39+08:00,1790
THB106－029,106－029,{'Zh_tw': '臺大'},"{'PositionLon': 121.533649, 'PositionLat': 25.017861, 'GeoHash': 'wsqqmd65e'}",2023-07-13T07:38:39+08:00,1790
THB106－030,106－030,{'Zh_tw': '龍安國小(公務人力發展學院)'},"{'PositionLon': 121.53491, 'PositionLat': 25.02521, 'GeoHash': 'wsqqmeen2'}",2023-07-13T07:38:39+08:00,1790
THB106－039,106－039,{'Zh_tw': '和平高中'},"{'PositionLon': 121.547505, 'PositionLat': 25.019965, 'GeoHash': 'wsqqmfspy'}",2023-07-13T07:38:39+08:00,1790
THB106－041,106－041,{'Zh_tw': '大安森林公園'},"{'PositionLon': 121.53508, 'PositionLat': 25.033535, 'GeoHash': 'wsqqmt5nu'}",2023-07-13T07:38:39+08:00,1790
THB106－047,106－047,{'Zh_tw': '自來水廠'},"{'PositionLon': 121.5483452, 'PositionLat': 25.017971, 'GeoHash': 'wsqqmfku1'}",2023-07-13T07:38:39+08:00,1790
THB106－049,106－049,{'Zh_tw': '臺大計資中心'},"{'PositionLon': 121.54052, 'PositionLat': 25.021683, 'GeoHash': 'wsqqmep1g'}",2023-07-13T07:38:39+08:00,1790
THB106－050,106－050,{'Zh_tw': '復興南路口'},"{'PositionLon': 121.54216, 'PositionLat': 25.024788, 'GeoHash': 'wsqqmg87c'}",2023-07-13T07:38:39+08:00,1790
THB106－052,106－052,{'Zh_tw': '青年活動中心'},"{'PositionLon': 121.544377, 'PositionLat': 25.020663, 'GeoHash': 'wsqqmfcgv'}",2023-07-13T07:38:39+08:00,1790
THB106－058,106－058,{'Zh_tw': '捷運忠孝敦化站'},"{'PositionLon': 121.5491, 'PositionLat': 25.0431, 'GeoHash': 'wsqqmyvqe'}",2023-07-13T07:38:39+08:00,1790
THB106－059,106－059,{'Zh_tw': '信義新生路口'},"{'PositionLon': 121.53289, 'PositionLat': 25.03333, 'GeoHash': 'wsqqmt1t9'}",2023-07-13T07:38:39+08:00,1790
THB106－060,106－060,{'Zh_tw': '空軍總部'},"{'PositionLon': 121.537846, 'PositionLat': 25.040575, 'GeoHash': 'wsqqmwmpv'}",2023-07-13T07:38:39+08:00,1790
THB106－063,106－063,{'Zh_tw': '捷運公館站'},"{'PositionLon': 121.535465, 'PositionLat': 25.013805, 'GeoHash': 'wsqqm9e7v'}",2023-07-13T07:38:39+08:00,1790
THB106－070,106－070,{'Zh_tw': '仁愛敦化路口(圓環)'},"{'PositionLon': 121.5475195, 'PositionLat': 25.037751, 'GeoHash': 'wsqqmvupq'}",2023-07-13T07:38:39+08:00,1790
THB106－071,106－071,{'Zh_tw': '仁愛復興路口(福華飯店)'},"{'PositionLon': 121.54399, 'PositionLat': 25.03797, 'GeoHash': 'wsqqmy18s'}",2023-07-13T07:38:39+08:00,1790
THB106－072,106－072,{'Zh_tw': '國立臺北教育大學'},"{'PositionLon': 121.543324, 'PositionLat': 25.024531, 'GeoHash': 'wsqqmg94k'}",2023-07-13T07:38:39+08:00,1790
THB106－073,106－073,{'Zh_tw': '自來水處(辛亥)'},"{'PositionLon': 121.547862, 'PositionLat': 25.017694, 'GeoHash': 'wsqqmfk6w'}",2023-07-13T07:38:39+08:00,1790
THB106－074,106－074,{'Zh_tw': '仁愛建國路口一'},"{'PositionLon': 121.53695, 'PositionLat': 25.03802, 'GeoHash': 'wsqqmwh90'}",2023-07-13T07:38:39+08:00,1790
THB106－075,106－075,{'Zh_tw': '捷運六張犁站(和平)'},"{'PositionLon': 121.55436, 'PositionLat': 25.02281, 'GeoHash': 'wsqqq530m'}",2023-07-13T07:38:39+08:00,1790
