PlateNumb,StopUID,StopID,StopName,RouteUID,RouteID,RouteName,Direction,CurrentStop,DestinationStop,StopSequence,StopStatus,IsLastBus,DataTime,TransTime,SrcRecTime,SrcUpdateTime,UpdateTime
,TNN7336,7336,"{'Zh_tw': '尚頂里', 'En': 'Shangding Vil.'}",TNN1412,1412,"{'Zh_tw': '橘12', 'En': 'O12'}",255,,,17,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN10555,10555,"{'Zh_tw': '聖安街口', 'En': 'Sheng-an St. Intersection'}",TNN10166,10166,"{'Zh_tw': '7', 'En': '7'}",255,,,21,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN7335,7335,"{'Zh_tw': '台電配電中心', 'En': 'Taipower Distribution Center'}",TNN1412,1412,"{'Zh_tw': '橘12', 'En': 'O12'}",255,,,16,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN10554,10554,"{'Zh_tw': '福安宮', 'En': 'Fu-an Temple'}",TNN10166,10166,"{'Zh_tw': '7', 'En': '7'}",255,,,20,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN7334,7334,"{'Zh_tw': '奇美醫院', 'En': 'Chi Mei Medical Center'}",TNN1412,1412,"{'Zh_tw': '橘12', 'En': 'O12'}",255,,,15,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN10553,10553,"{'Zh_tw': '鄭子寮', 'En': 'Jhengzihliao'}",TNN10166,10166,"{'Zh_tw': '7', 'En': '7'}",255,,,19,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN7333,7333,"{'Zh_tw': '大橋', 'En': 'Daciao'}",TNN1412,1412,"{'Zh_tw': '橘12', 'En': 'O12'}",255,,,14,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN10552,10552,"{'Zh_tw': '國際城', 'En': 'Guojicheng'}",TNN10166,10166,"{'Zh_tw': '7', 'En': '7'}",255,,,18,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN7332,7332,"{'Zh_tw': '臺南高工', 'En': 'National Tainan Industrial High School'}",TNN1412,1412,"{'Zh_tw': '橘12', 'En': 'O12'}",255,,,13,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
,TNN10551,10551,"{'Zh_tw': '六甲里西', 'En': 'West of Lioujia Vil.'}",TNN10166,10166,"{'Zh_tw': '7', 'En': '7'}",255,,,17,3,False,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:42:30+08:00,2023-07-14T00:47:19+08:00,2023-07-14T00:47:19+08:00
