CCTVID,AuthorityCode,OriginalVersion,OrginalLinkID,ChangeType,ChangeReason,ChangeAttribute,LinkID,Links
CCTV-17-062A-000-09,THB,20.07.1,1006210000000C,道路新增,修改路名/道路結構改變,,['1006211001000C'],"[{'LinkID': '1006211001000C', 'RoadID': '100621', 'RoadName': '台62甲線', 'RoadClass': 1, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'E', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-12-0640-004-03,THB,20.07.1,1006400000400F,道路異動,數化精進,"StartNode,EndNode,Length",['1006400000400F'],"[{'LinkID': '1006400000400F', 'RoadID': '100640', 'RoadName': '台64線', 'RoadClass': 1, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'SE', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-17-062A-000-01,THB,20.07.1,1006210100000C,道路新增,修改路名/道路結構改變,,['1006211101000C'],"[{'LinkID': '1006211101000C', 'RoadID': '100621', 'RoadName': '台62甲線', 'RoadClass': 1, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'W', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-12-0650-012-05,THB,20.07.1,6275510000040F,道路新增,道路分段,,['6275510000043F'],"[{'LinkID': '6275510000043F', 'RoadID': '627551F', 'RoadName': '擺接堡路', 'RoadClass': 6, 'RoadDirection': 'N', 'RoadDirectionID': '0', 'Bearing': 'NE', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-17-0620-017-09,THB,20.07.1,1006200101740F,道路異動,數化精進,"StartNode,Length",['1006200101740F'],"[{'LinkID': '1006200101740F', 'RoadID': '100620', 'RoadName': '台62線', 'RoadClass': 1, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'W', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-12-0640-003-09,THB,20.07.1,1006400000300F,道路異動,數化精進,"StartNode,EndNode,Length",['1006400000300F'],"[{'LinkID': '1006400000300F', 'RoadID': '100640', 'RoadName': '台64線', 'RoadClass': 1, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'SE', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-12-0640-002-02,THB,20.07.1,1006400000280F,道路異動,數化精進,"EndNode,Length",['1006400000280F'],"[{'LinkID': '1006400000280F', 'RoadID': '100640', 'RoadName': '台64線', 'RoadClass': 1, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'SE', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-23-0610-169-02,THB,20.07.1,1006100117000N,道路異動,數化精進,"StartNode,Length",['1006100117000N'],"[{'LinkID': '1006100117000N', 'RoadID': '100610', 'RoadName': '台61線', 'RoadClass': 1, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'NE', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-41-009A-060-01,THB,20.07.1,3000740001035G,道路異動,數化精進,"EndNode,Length",['3000740001035G'],"[{'LinkID': '3000740001035G', 'RoadID': '300074', 'RoadName': '台7丁線', 'RoadClass': 3, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'E', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-12-0640-003-15,THB,20.07.1,1006400100300F,道路異動,數化精進,"StartNode,Length",['1006400100300F'],"[{'LinkID': '1006400100300F', 'RoadID': '100640', 'RoadName': '台64線', 'RoadClass': 1, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'NW', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
