日期,新北市 / 能源別總計,新北市 / 汽油,新北市 / 電能,新北市 / 汽油、電能,臺北市 / 能源別總計,臺北市 / 汽油,臺北市 / 電能,臺北市 / 汽油、電能,桃園市 / 能源別總計,桃園市 / 汽油,桃園市 / 電能,桃園市 / 汽油、電能,臺中市 / 能源別總計,臺中市 / 汽油,臺中市 / 電能,臺中市 / 汽油、電能,高雄市 / 能源別總計,高雄市 / 汽油,高雄市 / 電能,高雄市 / 汽油、電能,基隆市 / 能源別總計,基隆市 / 汽油,基隆市 / 電能,基隆市 / 汽油、電能
105年 3月,"2,178,356","2,168,514","9,842",-,"959,749","953,734","6,014",-,"1,110,821","1,102,327","8,492",-,"1,651,947","1,648,007","3,938",-,"1,994,799","1,987,937","6,862",-,"180,690","180,477",213,-
105年 4月,"2,178,381","2,168,285","10,096",-,"959,033","952,896","6,136",-,"1,110,332","1,101,519","8,811",-,"1,650,992","1,647,011","3,979",-,"1,992,362","1,985,481","6,881",-,"180,744","180,528",216,-
105年 5月,"2,179,299","2,168,900","10,399",-,"959,170","952,858","6,311",-,"1,111,314","1,102,160","9,152",-,"1,652,169","1,648,082","4,085",-,"1,991,187","1,984,298","6,889",-,"180,880","180,656",224,-
105年 6月,"2,180,389","2,169,607","10,782",-,"958,377","951,947","6,429",-,"1,113,511","1,104,065","9,444",-,"1,654,688","1,650,202","4,484",-,"1,991,672","1,984,739","6,933",-,"181,032","180,799",233,-
105年 7月,"2,178,576","2,167,416","11,160",-,"956,436","949,867","6,568",-,"1,115,185","1,105,364","9,819",-,"1,655,352","1,650,577","4,773",-,"1,990,148","1,983,203","6,945",-,"180,956","180,708",248,-
105年 8月,"2,179,099","2,167,415","11,684",-,"954,554","947,826","6,727",-,"1,117,416","1,107,122","10,292",-,"1,656,840","1,651,728","5,110",-,"1,990,359","1,983,366","6,993",-,"181,058","180,801",257,-
105年 9月,"2,183,710","2,171,450","12,260",-,"955,347","948,385","6,961",-,"1,122,088","1,111,091","10,995",-,"1,661,661","1,656,171","5,488",-,"1,991,217","1,984,196","7,021",-,"181,522","181,251",271,-
105年 10月,"2,184,543","2,171,852","12,691",-,"955,113","947,621","7,491",-,"1,123,985","1,112,702","11,281",-,"1,663,690","1,657,894","5,794",-,"1,990,697","1,983,632","7,065",-,"181,520","181,244",276,-
105年 11月,"2,183,433","2,170,391","13,042",-,"954,029","946,303","7,725",-,"1,125,518","1,113,924","11,592",-,"1,665,309","1,659,243","6,064",-,"1,990,146","1,983,000","7,146",-,"181,721","181,434",287,-
105年 12月,"2,180,322","2,167,044","13,278",-,"952,180","944,160","8,019",-,"1,126,573","1,114,452","12,119",-,"1,665,116","1,658,662","6,452",-,"1,990,803","1,983,344","7,459",-,"181,573","181,275",298,-
106年,"2,188,019","2,169,592","18,427",-,"953,645","939,912","13,733",-,"1,153,997","1,131,692","22,305",-,"1,687,364","1,675,125","12,239",-,"1,999,902","1,986,423","13,479",-,"182,847","182,340",507,-
106年 1月,"2,179,909","2,166,320","13,589",-,"951,311","943,208","8,102",-,"1,127,299","1,115,079","12,218",-,"1,666,203","1,659,528","6,673",-,"1,990,329","1,982,833","7,496",-,"181,636","181,329",307,-
106年 2月,"2,181,385","2,167,437","13,948",-,"951,300","943,053","8,246",-,"1,128,519","1,116,259","12,258",-,"1,667,680","1,660,773","6,905",-,"1,991,306","1,983,642","7,664",-,"181,736","181,410",326,-
106年 3月,"2,182,521","2,168,190","14,331",-,"951,574","943,203","8,371",-,"1,129,514","1,117,074","12,438",-,"1,670,212","1,663,032","7,178",-,"1,993,461","1,985,564","7,897",-,"181,893","181,552",341,-
