日期,未滿1年,1年-未滿2年,2年-未滿3年,3年-未滿4年,4年-未滿5年,5年-未滿6年,6年-未滿7年,7年-未滿8年,8年-未滿9年,9年-未滿10年,10年-未滿11年,11年-未滿12年,12年-未滿13年,13年-未滿14年,14年-未滿15年,15年-未滿16年,16年-未滿17年,17年-未滿18年
109年 1月底,"317,867","360,519","393,667","387,935","380,734","395,927","324,553","327,487","330,380","303,545","249,425","175,364","275,055","265,505","389,065","363,108","287,437","235,055"
109年 2月底,"315,591","359,668","388,784","395,928","376,059","399,919","329,811","320,034","335,413","304,978","258,094","171,312","272,905","260,064","388,325","359,545","295,747","238,336"
109年 3月底,"317,907","353,339","389,193","399,022","370,694","402,542","338,706","313,641","335,364","307,683","273,083","165,578","268,692","252,316","378,405","365,831","298,993","243,744"
109年 4月底,"311,615","353,605","388,346","394,630","376,738","398,788","349,142","312,817","338,577","303,869","281,779","162,233","263,740","250,959","367,672","367,171","303,997","245,932"
109年 5月底,"307,872","351,226","390,081","388,357","380,897","397,903","358,047","310,072","346,105","301,551","287,479","163,448","254,603","252,132","356,723","366,076","312,373","248,124"
109年 6月底,"307,675","349,169","395,003","383,970","380,839","403,107","361,189","310,177","346,824","305,498","289,142","169,459","247,654","247,803","348,007","368,495","316,774","249,794"
109年 7月底,"310,817","348,269","396,814","382,326","379,444","401,463","368,844","312,271","342,057","315,175","288,973","178,644","236,403","252,041","332,050","370,602","320,848","251,250"
109年 8月底,"318,497","346,163","394,364","385,023","383,010","400,741","369,302","312,986","339,352","322,880","289,113","185,511","227,057","254,672","321,154","371,796","324,435","250,279"
109年 9月底,"318,669","349,744","390,960","387,925","384,252","396,543","369,362","320,677","333,535","330,060","292,244","193,176","217,258","258,902","305,917","377,599","324,001","251,257"
109年 10月底,"317,350","350,044","390,451","386,198","387,247","395,384","376,410","319,393","330,604","334,818","293,116","202,205","209,274","262,413","293,822","380,498","322,821","255,539"
109年 11月底,"322,775","356,854","383,046","390,616","389,584","394,139","376,669","326,097","325,308","336,396","294,356","218,408","197,166","268,082","280,058","378,872","323,142","258,381"
109年 12月底,"333,564","363,910","377,384","394,498","396,030","384,758","383,190","329,546","320,331","337,355","284,441","238,610","187,690","272,679","273,315","375,203","320,457","253,067"
110年底,"330,861","370,040","366,535","378,695","398,663","397,405","383,947","382,674","328,864","319,317","335,456","281,610","235,923","184,766","265,766","262,474","354,019","297,838"
110年 1月底,"338,737","368,721","363,427","395,943","394,047","381,817","395,135","324,181","326,475","328,721","301,182","246,887","172,912","269,264","256,657","368,496","336,658","261,551"
