日期,淡水,鞍部,臺北,竹子湖,基隆,彭佳嶼,花蓮,蘇澳,宜蘭,東吉島,澎湖,臺南,高雄,嘉義,臺中,阿里山,大武,玉山,新竹,恆春,成功,蘭嶼,日月潭,臺東,梧棲,金門,馬祖
98年 11月,118.5,497.5,53.7,404.0,479.9,101.9,38.1,336.2,229.7,56.2,56.4,4.0,9.0,6.3,16.0,27.5,17.6,40.8,68.9,3.0,31.3,96.8,22.0,44.0,31.6,68.5,83.1
98年 12月,75.7,210.5,63.7,150.1,203.2,57.6,28.1,381.3,162.7,3.0,12.0,3.5,0.5,18.2,17.6,73.7,6.5,41.0,41.6,4.5,30.8,125.9,24.5,10.2,16.6,30.6,41.6
99年,"2,070.3","4,915.1","2,278.3","4,070.5","3,303.6","2,093.9","1,769.3","4,738.2","2,542.4",770.2,688.2,"1,779.2","2,160.7","1,532.5","2,054.4","3,654.6","2,529.9","2,423.8","1,605.1","2,421.2","2,042.4","2,950.4","1,932.1","1,974.0","1,182.4",972.6,"1,206.2"
99年 1月,116.2,321.0,105.3,224.5,322.7,72.2,71.3,376.9,140.9,5.0,7.8,11.5,1.5,19.5,34.1,52.7,28.1,22.4,85.3,19.3,104.4,131.4,45.7,25.2,24.7,25.6,41.3
99年 2月,187.6,275.5,232.6,232.2,368.6,119.8,81.4,169.4,179.9,13.5,20.8,32.0,10.5,53.8,118.3,199.2,11.3,42.5,225.5,0.2,71.4,116.0,115.2,12.6,93.7,95.9,154.9
99年 3月,62.3,102.5,66.5,54.3,111.9,94.7,36.1,41.3,25.2,0.3,3.3,0.3,1.0,6.9,22.6,33.8,17.5,19.5,84.0,4.1,58.3,118.0,33.2,51.7,33.5,41.4,170.0
99年 4月,156.7,227.5,112.5,176.7,222.1,263.8,59.0,188.4,117.6,18.7,30.8,28.1,48.0,69.0,158.4,224.1,110.3,203.0,168.5,19.5,41.9,107.0,185.1,45.3,111.9,118.0,293.0
99年 5月,186.9,235.0,183.9,166.7,180.2,143.8,94.8,67.0,95.0,84.0,71.3,114.0,188.0,103.8,145.3,522.7,358.4,356.1,224.0,253.7,198.6,301.3,238.0,121.1,172.1,183.1,141.7
99年 6月,455.0,584.5,419.6,455.1,321.6,207.8,61.4,208.4,154.4,40.5,137.1,283.4,257.0,269.8,529.9,457.5,83.1,371.0,349.1,196.8,73.8,137.0,474.0,52.9,312.3,187.4,208.9
99年 7月,30.5,24.6,89.1,19.7,5.0,38.3,73.7,31.4,65.5,195.8,95.6,501.4,437.0,459.3,463.5,858.8,233.0,429.7,77.2,381.7,212.2,207.8,407.4,184.1,187.5,4.4,5.9
99年 8月,196.6,471.0,388.5,464.3,242.6,472.2,60.2,310.8,151.1,49.2,8.3,210.0,164.7,208.7,203.5,366.3,139.8,126.0,130.0,278.3,50.2,406.2,222.3,137.1,108.8,8.4,19.7
99年 9月,76.3,522.0,144.2,452.5,519.7,73.8,477.5,311.9,266.8,270.8,238.9,461.0,853.0,252.3,328.6,592.4,"1,037.2",477.0,93.7,847.6,701.4,364.0,127.2,779.9,97.2,130.5,59.8
99年 10月,412.6,"1,492.5",345.4,"1,319.4",506.3,260.9,629.2,"1,861.2",900.8,56.0,52.9,69.0,175.5,15.8,2.1,194.4,456.1,159.2,80.0,413.4,428.1,839.0,9.5,503.8,0.7,129.6,50.7
99年 11月,89.5,397.5,127.3,280.9,304.3,255.6,104.5,830.5,353.0,25.9,8.3,54.0,13.0,40.9,20.7,87.8,41.8,165.3,26.7,5.4,79.7,154.0,39.0,47.7,16.0,14.2,19.2
